,Area Code,Cogs,DifferenceBetweenActualandTargetProfit,Date,Inventory Margin,Margin,Market Size,Market,Marketing,Product_line,Product_type,Product,Profit,Sales,State,Target_cogs,Target_margin,Target_profit,Target_sales,Total_expenses,Type
58,314,31,-23,2012-11-27,844,46,Small Market,Central,8,Beans,Espresso,Decaf Espresso,27,77,Missouri,30,60,50,90,19,Decaf
59,225,34,-19,2012-11-28,863,51,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,31,85,Louisiana,40,60,50,100,20,Decaf
60,580,33,-22,2012-11-29,870,49,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,28,82,Oklahoma,30,60,50,90,21,Decaf
61,603,48,-2,2012-11-30,462,74,Small Market,East,15,Beans,Coffee,Colombian,28,122,New Hampshire,40,60,30,100,46,Regular
62,985,55,-3,2012-12-01,-1053,76,Small Market,South,49,Beans,Espresso,Caffe Latte,-3,131,Louisiana,40,60,0,100,79,Regular
63,505,49,-15,2012-12-02,335,69,Small Market,South,44,Beans,Espresso,Caffe Mocha,-5,118,New Mexico,30,60,10,90,74,Regular
64,775,39,-19,2012-12-03,250,49,Small Market,West,14,Beans,Coffee,Colombian,1,88,Nevada,40,60,20,100,48,Regular
65,417,49,-5,2012-12-04,335,69,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-5,118,Missouri,40,60,0,100,74,Decaf
66,920,41,0,2012-12-05,320,66,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,30,107,Wisconsin,30,60,30,90,36,Decaf
67,573,92,-4,2012-12-06,1898,68,Small Market,Central,28,Leaves,Herbal Tea,Lemon,16,160,Missouri,80,60,20,140,52,Decaf
68,475,68,7,2012-12-07,619,85,Small Market,East,25,Leaves,Herbal Tea,Lemon,27,153,Connecticut,50,60,20,110,58,Decaf
69,475,63,-4,2012-12-08,1075,76,Small Market,East,19,Leaves,Herbal Tea,Mint,36,139,Connecticut,40,60,40,100,40,Decaf
70,435,92,-3,2012-12-09,1898,68,Small Market,West,28,Leaves,Herbal Tea,Mint,17,160,Utah,80,60,20,140,51,Decaf
71,920,55,-3,2012-12-10,627,76,Small Market,Central,49,Leaves,Tea,Earl Grey,-3,131,Wisconsin,40,60,0,100,79,Regular
72,720,51,-37,2012-12-11,503,71,Major Market,Central,46,Leaves,Herbal Tea,Lemon,-7,130,Colorado,30,60,30,90,76,Decaf
73,970,52,-11,2012-12-12,405,71,Major Market,Central,17,Leaves,Herbal Tea,Mint,39,131,Colorado,30,60,50,90,45,Decaf
74,430,43,-8,2012-12-13,419,64,Major Market,South,13,Leaves,Herbal Tea,Lemon,42,114,Texas,30,60,50,90,36,Decaf
75,561,38,2,2012-12-14,871,56,Major Market,East,10,Leaves,Tea,Darjeeling,52,100,Florida,40,60,50,100,21,Regular
76,510,72,33,2012-12-15,650,110,Major Market,West,23,Leaves,Tea,Green Tea,83,194,California,20,60,50,80,54,Regular
77,563,0,-14,2012-12-16,430,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,46,46,Iowa,0,60,60,60,12,Decaf
78,203,47,-19,2012-12-17,375,64,Small Market,East,15,Beans,Espresso,Decaf Espresso,31,118,Connecticut,30,60,50,90,43,Decaf
79,405,27,-29,2012-12-18,859,39,Small Market,South,7,Beans,Coffee,Decaf Irish Cream,31,70,Oklahoma,30,60,60,90,18,Decaf
80,775,31,-40,2012-12-19,1000,37,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,10,72,Nevada,30,60,50,90,30,Decaf
81,435,40,-5,2012-12-20,881,59,Small Market,West,11,Beans,Espresso,Decaf Espresso,55,106,Utah,20,60,60,80,22,Decaf
82,603,49,-11,2012-12-21,310,71,Small Market,East,15,Beans,Coffee,Amaretto,49,128,New Hampshire,30,60,60,90,38,Regular
83,603,45,-14,2012-12-22,447,69,Small Market,East,14,Beans,Coffee,Colombian,36,121,New Hampshire,30,60,50,90,45,Regular
84,603,45,-40,2012-12-23,320,64,Small Market,East,41,Beans,Espresso,Caffe Mocha,-10,116,New Hampshire,30,60,30,90,71,Regular
85,504,60,-9,2012-12-24,-762,84,Small Market,South,54,Beans,Espresso,Caffe Latte,1,153,Louisiana,30,60,10,90,83,Regular
86,702,34,-33,2012-12-25,240,43,Small Market,West,12,Beans,Coffee,Colombian,-3,82,Nevada,40,60,30,100,45,Regular
87,971,54,-22,2012-12-26,404,66,Small Market,West,20,Beans,Espresso,Caffe Latte,18,128,Oregon,40,60,40,100,54,Regular
88,573,45,-39,2012-12-27,320,64,Small Market,Central,41,Leaves,Herbal Tea,Chamomile,-9,116,Missouri,20,60,30,80,70,Decaf
89,262,48,7,2012-12-28,851,70,Small Market,Central,13,Leaves,Herbal Tea,Lemon,67,126,Wisconsin,30,60,60,90,25,Decaf
90,801,49,-11,2012-12-29,310,71,Small Market,West,15,Leaves,Herbal Tea,Chamomile,49,128,Utah,30,60,60,90,38,Decaf
91,509,48,10,2012-12-30,829,71,Small Market,West,13,Leaves,Herbal Tea,Lemon,70,127,Washington,30,60,60,90,24,Decaf
92,475,40,3,2012-12-31,881,59,Small Market,East,11,Leaves,Tea,Darjeeling,53,106,Connecticut,40,60,50,100,23,Regular
93,503,82,45,2013-01-01,788,123,Small Market,West,27,Leaves,Tea,Earl Grey,95,218,Oregon,30,60,50,90,59,Regular
94,541,91,63,2013-01-02,656,127,Small Market,West,28,Leaves,Tea,Green Tea,113,232,Oregon,40,60,50,100,51,Regular
95,936,40,-1,2013-01-03,536,52,Major Market,South,13,Beans,Coffee,Decaf Irish Cream,39,98,Texas,40,60,40,100,26,Decaf
96,254,50,31,2013-01-04,589,73,Major Market,South,14,Beans,Espresso,Decaf Espresso,71,131,Texas,30,60,40,90,25,Decaf
97,719,40,0,2013-01-05,536,52,Major Market,Central,13,Beans,Coffee,Colombian,40,98,Colorado,30,60,40,90,25,Regular
98,339,52,-12,2013-01-06,554,68,Major Market,East,47,Beans,Espresso,Caffe Mocha,-12,128,Massachusetts,50,60,0,110,76,Regular
99,561,75,35,2013-01-07,1063,89,Major Market,East,23,Leaves,Herbal Tea,Mint,65,175,Florida,50,60,30,110,45,Decaf
100,806,46,16,2013-01-08,424,68,Major Market,South,14,Leaves,Herbal Tea,Lemon,46,121,Texas,40,60,30,100,37,Decaf
101,719,55,2,2013-01-09,410,69,Major Market,Central,20,Leaves,Tea,Darjeeling,22,132,Colorado,40,60,20,100,54,Regular
102,708,50,31,2013-01-10,589,73,Major Market,Central,14,Leaves,Tea,Darjeeling,71,131,Illinois,40,60,40,100,25,Regular
103,719,57,13,2013-01-11,1042,68,Major Market,Central,17,Leaves,Tea,Earl Grey,43,133,Colorado,40,60,30,100,39,Regular
104,351,36,6,2013-01-12,862,52,Major Market,East,10,Leaves,Tea,Darjeeling,46,94,Massachusetts,30,60,40,90,21,Regular
105,636,33,-10,2013-01-13,836,48,Small Market,Central,9,Beans,Espresso,Decaf Espresso,40,86,Missouri,40,60,50,100,21,Decaf
106,504,31,-8,2013-01-14,856,47,Small Market,South,8,Beans,Coffee,Decaf Irish Cream,42,83,Louisiana,30,60,50,90,19,Decaf
107,580,36,5,2013-01-15,862,52,Small Market,South,10,Beans,Coffee,Decaf Irish Cream,45,94,Oklahoma,40,60,40,100,22,Decaf
108,337,49,20,2013-01-16,454,71,Small Market,South,15,Beans,Espresso,Decaf Espresso,50,128,Louisiana,30,60,30,90,37,Decaf
109,262,54,1,2013-01-17,391,67,Small Market,Central,20,Beans,Coffee,Amaretto,21,129,Wisconsin,50,60,20,110,53,Regular
110,603,46,5,2013-01-18,316,67,Small Market,East,14,Beans,Coffee,Amaretto,45,120,New Hampshire,40,60,40,100,37,Regular
111,603,43,0,2013-01-19,452,66,Small Market,East,14,Beans,Coffee,Colombian,30,116,New Hampshire,30,60,30,90,46,Regular
112,603,44,-22,2013-01-20,325,62,Small Market,East,40,Beans,Espresso,Caffe Mocha,-12,113,New Hampshire,40,60,10,100,70,Regular
113,318,53,43,2013-01-21,321,88,Small Market,South,16,Beans,Espresso,Caffe Mocha,73,150,Louisiana,40,60,30,100,39,Regular
114,206,54,-1,2013-01-22,391,67,Small Market,West,20,Beans,Espresso,Caffe Mocha,19,129,Washington,50,60,20,110,54,Regular
115,580,54,-1,2013-01-23,391,67,Small Market,South,20,Leaves,Herbal Tea,Chamomile,19,129,Oklahoma,50,60,20,110,54,Decaf
116,435,46,15,2013-01-24,316,67,Small Market,West,14,Leaves,Herbal Tea,Chamomile,45,120,Utah,40,60,30,100,37,Decaf
117,435,43,0,2013-01-25,452,66,Small Market,West,14,Leaves,Herbal Tea,Lemon,30,116,Utah,40,60,30,100,46,Decaf
118,253,47,25,2013-01-26,834,68,Small Market,West,13,Leaves,Herbal Tea,Lemon,65,123,Washington,40,60,40,100,24,Decaf
119,203,36,9,2013-01-27,809,54,Small Market,East,10,Leaves,Tea,Green Tea,49,96,Connecticut,30,60,40,90,21,Regular
120,509,61,1,2013-01-28,613,86,Small Market,West,55,Leaves,Tea,Green Tea,1,157,Washington,40,60,0,100,85,Regular
121,956,43,5,2013-01-29,531,56,Major Market,South,14,Beans,Coffee,Decaf Irish Cream,45,106,Texas,50,60,40,110,26,Decaf
122,430,54,37,2013-01-30,601,79,Major Market,South,15,Beans,Espresso,Decaf Espresso,77,142,Texas,40,60,40,100,27,Decaf
123,719,47,-9,2013-01-31,521,65,Major Market,Central,42,Leaves,Herbal Tea,Lemon,-9,119,Colorado,40,60,0,100,71,Decaf
124,970,54,13,2013-02-01,424,73,Major Market,Central,17,Leaves,Herbal Tea,Mint,43,135,Colorado,50,60,30,110,44,Decaf
125,305,65,14,2013-02-02,403,80,Major Market,East,24,Leaves,Herbal Tea,Lemon,34,155,Florida,40,60,20,100,57,Decaf
126,407,80,44,2013-02-03,1079,96,Major Market,East,24,Leaves,Herbal Tea,Mint,74,188,Florida,60,60,30,120,46,Decaf
127,325,54,12,2013-02-04,424,73,Major Market,South,17,Leaves,Herbal Tea,Chamomile,42,135,Texas,50,60,30,110,45,Decaf
128,430,41,6,2013-02-05,435,60,Major Market,South,13,Leaves,Herbal Tea,Lemon,36,108,Texas,30,60,30,90,36,Decaf
129,408,54,29,2013-02-06,601,79,Major Market,West,15,Leaves,Tea,Earl Grey,79,142,California,30,60,50,90,26,Regular
130,816,31,-10,2013-02-07,844,46,Small Market,Central,8,Beans,Espresso,Decaf Espresso,40,82,Missouri,30,60,50,90,19,Decaf
131,337,34,-4,2013-02-08,863,51,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,46,91,Louisiana,40,60,50,100,20,Decaf
132,918,33,-8,2013-02-09,870,49,Small Market,South,9,Beans,Coffee,Decaf Irish Cream,42,87,Oklahoma,30,60,50,90,21,Decaf
133,603,48,12,2013-02-10,462,74,Small Market,East,15,Beans,Coffee,Colombian,42,130,New Hampshire,40,60,30,100,46,Regular
134,225,55,-4,2013-02-11,-1053,76,Small Market,South,49,Beans,Espresso,Caffe Latte,-4,140,Louisiana,40,60,0,100,79,Regular
135,505,49,-17,2013-02-12,335,69,Small Market,South,44,Beans,Espresso,Caffe Mocha,-7,126,New Mexico,30,60,10,90,74,Regular
136,702,39,-19,2013-02-13,250,49,Small Market,West,14,Beans,Coffee,Colombian,1,94,Nevada,40,60,20,100,48,Regular
137,314,49,-7,2013-02-14,335,69,Small Market,Central,44,Leaves,Herbal Tea,Chamomile,-7,126,Missouri,40,60,0,100,74,Decaf
138,920,41,15,2013-02-15,320,66,Small Market,Central,12,Leaves,Herbal Tea,Chamomile,45,114,Wisconsin,30,60,30,90,36,Decaf
139,417,92,4,2013-02-16,1898,68,Small Market,Central,28,Leaves,Herbal Tea,Lemon,24,171,Missouri,80,60,20,140,52,Decaf
140,860,68,20,2013-02-17,619,85,Small Market,East,25,Leaves,Herbal Tea,Lemon,40,163,Connecticut,50,60,20,110,58,Decaf
141,203,63,13,2013-02-18,1075,76,Small Market,East,19,Leaves,Herbal Tea,Mint,53,148,Connecticut,40,60,40,100,40,Decaf
142,435,92,5,2013-02-19,1898,68,Small Market,West,28,Leaves,Herbal Tea,Mint,25,171,Utah,80,60,20,140,51,Decaf
143,262,55,-4,2013-02-20,627,76,Small Market,Central,49,Leaves,Tea,Earl Grey,-4,140,Wisconsin,40,60,0,100,79,Regular
144,719,39,-23,2013-02-21,541,51,Major Market,Central,12,Beans,Coffee,Colombian,27,90,Colorado,30,50,50,80,24,Regular
145,305,80,8,2013-02-22,1055,94,Major Market,East,24,Leaves,Herbal Tea,Mint,48,174,Florida,40,50,40,90,46,Decaf
146,303,54,-17,2013-02-23,404,66,Major Market,Central,20,Leaves,Tea,Darjeeling,13,120,Colorado,30,50,30,80,53,Regular
147,303,54,-13,2013-02-24,1037,64,Major Market,Central,16,Leaves,Tea,Earl Grey,27,118,Colorado,30,50,40,80,37,Regular
148,508,27,-30,2013-02-25,859,39,Major Market,East,7,Leaves,Tea,Darjeeling,20,66,Massachusetts,20,50,50,70,19,Regular
149,209,76,29,2013-02-26,580,111,Major Market,West,21,Leaves,Tea,Earl Grey,79,187,California,30,50,50,80,32,Regular
150,715,22,-40,2013-02-27,573,29,Small Market,Central,7,Beans,Espresso,Decaf Espresso,10,51,Wisconsin,20,50,50,70,19,Decaf
151,319,23,-32,2013-02-28,800,35,Small Market,Central,6,Beans,Espresso,Caffe Mocha,18,58,Iowa,20,50,50,70,17,Regular
152,959,79,4,2013-03-01,593,98,Small Market,East,30,Leaves,Herbal Tea,Lemon,34,177,Connecticut,40,50,30,90,64,Decaf
153,860,65,-15,2013-03-02,1053,77,Small Market,East,20,Leaves,Herbal Tea,Mint,35,142,Connecticut,30,50,50,80,42,Decaf
154,262,46,-10,2013-03-03,449,67,Small Market,Central,14,Leaves,Tea,Darjeeling,30,113,Wisconsin,20,50,40,70,37,Regular
155,715,60,0,2013-03-04,606,84,Small Market,Central,54,Leaves,Tea,Earl Grey,0,144,Wisconsin,40,50,0,90,84,Regular
156,206,60,17,2013-03-05,329,99,Small Market,West,18,Leaves,Tea,Darjeeling,57,159,Washington,20,50,40,70,42,Regular
157,773,40,-3,2013-03-06,536,52,Major Market,Central,13,Leaves,Herbal Tea,Lemon,27,92,Illinois,30,50,30,80,25,Decaf
158,614,36,-10,2013-03-07,862,52,Major Market,Central,10,Leaves,Herbal Tea,Lemon,30,88,Ohio,30,50,40,80,22,Decaf
159,617,55,-5,2013-03-08,410,69,Major Market,East,20,Leaves,Herbal Tea,Lemon,15,124,Massachusetts,40,50,20,90,54,Decaf
160,707,40,-3,2013-03-09,536,52,Major Market,West,13,Leaves,Herbal Tea,Mint,27,92,California,30,50,30,80,25,Decaf
161,352,28,-17,2013-03-10,875,42,Major Market,East,7,Leaves,Tea,Darjeeling,23,70,Florida,20,50,40,70,19,Regular
162,561,31,-12,2013-03-11,856,47,Major Market,East,8,Leaves,Tea,Green Tea,28,78,Florida,30,50,40,80,19,Regular
163,351,32,-11,2013-03-12,482,48,Major Market,East,8,Leaves,Tea,Green Tea,29,80,Massachusetts,30,50,40,80,19,Regular
164,650,50,7,2013-03-13,589,73,Major Market,West,14,Leaves,Tea,Earl Grey,47,123,California,30,50,40,80,26,Regular
165,712,0,-9,2013-03-14,387,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,31,43,Iowa,0,50,40,50,12,Decaf
166,505,82,-18,2013-03-15,1804,40,Small Market,South,25,Beans,Coffee,Decaf Irish Cream,-8,122,New Mexico,90,50,10,140,48,Decaf
167,515,22,-24,2013-03-16,802,34,Small Market,Central,6,Beans,Espresso,Caffe Mocha,16,56,Iowa,20,50,40,70,18,Regular
168,505,44,-7,2013-03-17,325,62,Small Market,South,40,Beans,Espresso,Caffe Mocha,-7,106,New Mexico,30,50,0,80,69,Regular
169,775,33,-14,2013-03-18,243,41,Small Market,West,12,Beans,Coffee,Colombian,-4,74,Nevada,30,50,10,80,45,Regular
170,573,44,-8,2013-03-19,325,62,Small Market,Central,40,Leaves,Herbal Tea,Chamomile,-8,106,Missouri,40,50,0,90,70,Decaf
171,262,31,-13,2013-03-20,856,47,Small Market,Central,8,Leaves,Herbal Tea,Lemon,27,78,Wisconsin,20,50,40,70,20,Decaf
172,475,69,8,2013-03-21,1060,81,Small Market,East,21,Leaves,Herbal Tea,Mint,38,150,Connecticut,50,50,30,100,43,Decaf
173,262,49,13,2013-03-22,454,71,Small Market,Central,15,Leaves,Tea,Darjeeling,33,120,Wisconsin,40,50,20,90,38,Regular
174,206,49,4,2013-03-23,454,71,Small Market,West,15,Leaves,Tea,Earl Grey,34,120,Washington,30,50,30,80,37,Regular
175,970,43,-1,2013-03-24,531,56,Major Market,Central,14,Beans,Coffee,Colombian,29,99,Colorado,40,50,30,90,27,Regular
176,614,41,4,2013-03-25,435,60,Major Market,Central,13,Beans,Coffee,Colombian,24,101,Ohio,40,50,20,90,36,Regular
177,339,47,-10,2013-03-26,571,52,Major Market,East,42,Beans,Espresso,Caffe Mocha,-20,99,Massachusetts,40,50,-10,90,72,Regular
178,773,43,-1,2013-03-27,531,56,Major Market,Central,14,Leaves,Herbal Tea,Lemon,29,99,Illinois,40,50,30,90,27,Decaf
179,805,43,-1,2013-03-28,531,56,Major Market,West,14,Leaves,Herbal Tea,Mint,29,99,California,40,50,30,90,27,Decaf
180,303,46,-4,2013-03-29,422,57,Major Market,Central,17,Leaves,Tea,Darjeeling,6,103,Colorado,30,50,10,80,51,Regular
181,303,53,6,2013-03-30,1054,63,Major Market,Central,16,Leaves,Tea,Earl Grey,26,116,Colorado,40,50,20,90,37,Regular
182,617,33,-11,2013-03-31,870,49,Major Market,East,9,Leaves,Tea,Darjeeling,29,82,Massachusetts,30,50,40,80,20,Regular
183,863,34,-10,2013-04-01,863,51,Major Market,East,9,Leaves,Tea,Green Tea,30,85,Florida,30,50,40,80,21,Regular
184,641,0,-8,2013-04-02,344,43,Small Market,Central,0,Beans,Espresso,Decaf Espresso,32,43,Iowa,0,50,40,50,11,Decaf
185,225,43,7,2013-04-03,466,63,Small Market,South,13,Beans,Espresso,Decaf Espresso,27,106,Louisiana,30,50,20,80,36,Decaf
186,702,31,-22,2013-04-04,1009,38,Small Market,West,9,Beans,Coffee,Decaf Irish Cream,8,69,Nevada,30,50,30,80,30,Decaf
187,515,23,-23,2013-04-05,807,35,Small Market,Central,6,Beans,Espresso,Caffe Mocha,17,58,Iowa,20,50,40,70,18,Regular
188,985,41,11,2013-04-06,320,66,Small Market,South,12,Beans,Espresso,Caffe Mocha,31,107,Louisiana,30,50,20,80,35,Regular
189,971,46,-4,2013-04-07,422,57,Small Market,West,17,Beans,Espresso,Caffe Latte,6,103,Oregon,40,50,10,90,51,Regular
190,262,43,8,2013-04-08,466,63,Small Market,Central,13,Leaves,Tea,Darjeeling,28,106,Wisconsin,30,50,20,80,35,Regular
191,959,33,-12,2013-04-09,818,49,Small Market,East,9,Leaves,Tea,Green Tea,28,82,Connecticut,30,50,40,80,21,Regular
192,435,49,-4,2013-04-10,335,69,Small Market,West,44,Leaves,Tea,Darjeeling,-4,118,Utah,30,50,0,80,73,Regular
193,360,55,7,2013-04-11,627,76,Small Market,West,49,Leaves,Tea,Green Tea,-3,131,Washington,40,50,-10,90,79,Regular
194,303,39,-10,2013-04-12,541,51,Major Market,Central,12,Beans,Coffee,Colombian,40,96,Colorado,30,50,50,80,24,Regular
195,904,80,31,2013-04-13,1055,94,Major Market,East,24,Leaves,Herbal Tea,Mint,71,185,Florida,40,50,40,90,46,Decaf
